id,natcash_phone,name,parent_sa_id,tier,location_name,created_at
e25269cf-162e-4250-ac89-b46074dc69f2,+509 4064-3785,Woody Pierre-Louis,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,MACHANN,Les Cayes,2025-09-24 12:00:00
da37510d-59a7-4ef4-ada2-cd93cc4759c0,+509 4151-5509,Joseph Duval,1bfcb54a-c373-4db1-83a5-c12dfe32476f,MACHANN,Gonaïves,2025-09-17 12:00:00
7bd6f640-21b6-49fe-b934-e43d7db6fd3f,+509 4120-2907,Madam Filo Duval,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-28 12:00:00
80317add-240f-4fca-aa8d-7f6721d41b35,+509 3112-5647,Ti Jan Etienne,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-10-04 12:00:00
0c7e091c-d0c6-4f19-a9b4-8a595426686f,+509 3161-6603,Ti Jan Duval,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-20 12:00:00
1f6e0281-465a-427e-95c6-8ff62692d3db,+509 3119-6032,Woody Pierre-Louis,1bfcb54a-c373-4db1-83a5-c12dfe32476f,MACHANN,Gonaïves,2025-09-12 12:00:00
866d42ac-573e-4c4a-bf54-155c709a72af,+509 4191-8931,Joseph Etienne,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-09-03 12:00:00
9a10de4b-b27b-4f4b-ab6a-311bdc091501,+509 4170-7556,Clervaux Etienne,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-23 12:00:00
77e2a3b4-9887-4468-945b-f14936f028c0,+509 3126-1667,Bò Bòzò Pierre-Louis,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-07 12:00:00
823efcc8-c145-4e64-9b69-73763a196cad,+509 4118-7179,Ti Makè Francois,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-10-20 12:00:00
6c6bf90a-b718-4e31-bc0e-82b4af34216c,+509 3146-2617,Dieudonné Francois,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-11-03 12:00:00
85ffe694-13ea-41c5-b1d1-2b0bd6feb6f2,+509 4151-1894,Pierre Lafontant,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-30 12:00:00
f40505b0-09ce-495e-9a72-b5b4dcc68a50,+509 4184-2850,Joseph Jean-Baptiste,1bfcb54a-c373-4db1-83a5-c12dfe32476f,MACHANN,Gonaïves,2025-09-24 12:00:00
5ded7749-3993-4797-9cb2-d4bd134d857b,+509 4049-5718,Madam Elize Célestin,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-09-20 12:00:00
aca72730-bf72-4b88-af35-94843da4ab3c,+509 4054-8196,Ti Makè Gérard,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-11-06 12:00:00
911a0b8b-115d-462d-bc6e-ec269f1fcc05,+509 3179-2147,Marie Etienne,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-07 12:00:00
0fd94324-7054-4b89-b8bb-47472ba0cf81,+509 4146-7829,Florence Francois,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-10-18 12:00:00
76739de7-e1dc-465c-9c56-8d444ff952ba,+509 3174-4886,Pierre Francois,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-21 12:00:00
2d7e6f9c-7de7-4f95-9e56-19276f0880b5,+509 3146-8056,Mackenson Bélizaire,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-15 12:00:00
b3796ec1-463f-474a-9230-5526a8862943,+509 3192-6850,Ti Jan Pierre-Louis,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-11-07 12:00:00
66c4f221-a225-46e1-8019-761dd43fe331,+509 3192-3264,Dieudonné Lafontant,54699587-9f8f-4d09-b207-4666b61b6cca,MACHANN,Port-de-Paix,2025-09-23 12:00:00
0b7899ea-afdb-401e-9f98-669f53377200,+509 4085-7178,Clervaux Michel,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-29 12:00:00
6690c098-3bc5-436d-a23b-6550b35e6a1d,+509 3198-8376,Madam Filo Pierre-Louis,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-16 12:00:00
aebc3340-952a-48dc-bca0-ca01be6ac3c3,+509 4069-6694,Madam Elize Pierre-Louis,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-26 12:00:00
ea9066db-ed62-4085-bfd0-44328623bff3,+509 4071-9058,Woody Gérard,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-22 12:00:00
aabdef73-8277-46b1-b70b-6fa16bbaec7d,+509 4194-2465,Mackenson Jean-Baptiste,54699587-9f8f-4d09-b207-4666b61b6cca,MACHANN,Port-de-Paix,2025-09-28 12:00:00
149f4d62-7c86-49c4-97f3-ef34896f82bc,+509 4084-4954,Nathalie Etienne,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-22 12:00:00
fada9969-5044-4cf6-bf06-0442ba6d20f6,+509 3184-2289,Madam Filo Pierre-Louis,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-05 12:00:00
40a98692-8572-47ff-9033-1c43425ac14f,+509 4114-2136,Florence Célestin,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-01 12:00:00
97a7795f-6aeb-40b2-9a7c-72e4ab575408,+509 4019-7605,Ti Jan Duval,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-10-18 12:00:00
e4544a86-0616-4dd9-b019-47d56707de23,+509 4059-8198,Ti Makè Lafontant,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-22 12:00:00
1350f386-0aff-4bb5-b2e1-f99814aa66d3,+509 4027-9861,Mackenson Pierre-Louis,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-16 12:00:00
47c5a139-bd52-44c6-9c13-71829ec6107c,+509 4080-6057,Madam Filo Duval,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-04 12:00:00
d3709970-e947-40e0-999a-fe2853183558,+509 3158-3810,Joseph Etienne,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-02 12:00:00
26f6c44b-f66f-404d-a032-e567396efe94,+509 3159-5864,Marie Lafontant,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-10-15 12:00:00
70de3cd2-cbff-4881-92cd-04ee046d3376,+509 3191-4630,Pierre Gérard,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-22 12:00:00
4838a1e5-c310-45d0-8aec-e3621a450011,+509 4054-2825,Nathalie Lafontant,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-17 12:00:00
a71ecf01-46cc-4412-a918-c2287372cd36,+509 3139-5203,Florence Bélizaire,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-29 12:00:00
4140ea01-9461-4808-9ea6-f277d86e6288,+509 4141-4719,Dieudonné Francois,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-11-10 12:00:00
e2e2d6ce-d84e-4457-a2dc-0ba2ee3e47ef,+509 3182-5677,Ti Makè Duval,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-22 12:00:00
7a80b8fe-b3a4-4279-952d-cdf1c0a3795c,+509 4087-7679,Madam Elize Bélizaire,1bfcb54a-c373-4db1-83a5-c12dfe32476f,MACHANN,Gonaïves,2025-09-26 12:00:00
1d53ca59-dd10-4ce8-b400-1d4bc95f45aa,+509 4018-1812,Mackenson Michel,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-14 12:00:00
662b4d17-e49f-4b40-85c8-183811fe6a43,+509 3175-4167,Clervaux Bélizaire,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-09-24 12:00:00
e0d915ae-628e-477a-860b-afa0fcd47dfd,+509 3153-2537,Marie Etienne,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-11-11 12:00:00
1c6194ee-c6cd-4735-9d8b-0f4e6ae5bb20,+509 3112-4778,Dieudonné Francois,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-26 12:00:00
dfc5eed8-450e-4565-8614-66163defc662,+509 4022-2509,Ti Jan Francois,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-10-19 12:00:00
2e4e7669-9356-4694-9067-080f74e94b9a,+509 4186-6626,Jean Bélizaire,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-09-29 12:00:00
85bb0cb4-bf53-482e-a840-ae53e975ccba,+509 4030-2376,Woody Duval,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-19 12:00:00
0d5e39d7-cd08-47da-b5d9-0471cffb3c39,+509 3111-9119,Woody Gérard,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-10-14 12:00:00
68c43bf6-ac21-45a2-8f8c-b30ac6a415e5,+509 4112-8423,Nathalie Gérard,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-02 12:00:00
3391d30e-c773-46eb-81b1-84f609959e56,+509 4053-5537,Nathalie Michel,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-21 12:00:00
34b077a0-82ec-473d-afea-16f63653f45d,+509 4132-4074,Ti Jan Célestin,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-12 12:00:00
ce4b97d4-2d85-498d-af5b-76d9c3ee6dda,+509 3125-4719,Florence Duval,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-11-22 12:00:00
b0e6c7df-00b2-4ee8-9725-973e24a0bb05,+509 4195-5349,Madam Filo Gérard,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-06 12:00:00
fff01e8e-a593-4605-9aba-97b14c2f4455,+509 3181-3985,Marie Lafontant,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-12 12:00:00
4b7eed6b-5ae0-410a-9ace-587a4526589c,+509 4023-9092,Mackenson Etienne,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,MACHANN,Les Cayes,2025-10-23 12:00:00
73734a91-7d5b-4b3e-8fbf-7a64f6e5a648,+509 4014-7019,Ti Jan Michel,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,MACHANN,Port-au-Prince,2025-11-27 12:00:00
91626a03-ea4f-4e8a-9277-6e240521d916,+509 3116-3438,Clervaux Gérard,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-25 12:00:00
de8ffa38-c5d9-4d84-a3ca-0f3d958252e4,+509 4046-1242,Ti Jan Michel,8a3b5b69-6233-4d53-8eca-e604305809b4,MACHANN,Cap-Haïtien,2025-11-12 12:00:00
ce229948-5dc6-4ae6-9124-0172ae0aa2dd,+509 4167-6628,Mackenson Lafontant,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-10-22 12:00:00
1db7e79f-77d0-48d8-bdc9-dc7a8c016ae5,+509 4117-1852,Ti Jan Gérard,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-09-21 12:00:00
d93a5524-96e5-47f6-bfbc-4e3b7c4dde5c,+509 4011-6656,Marie Célestin,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-09-12 12:00:00
aa59995a-1d52-443f-9583-34f08d8558c6,+509 4137-5366,Jean Francois,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-04 12:00:00
b32a2418-d465-4cf1-a4ee-0ce8f9cedd47,+509 4118-9139,Marie Gérard,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-15 12:00:00
a7dbb825-403c-4d5f-9a5f-7a24b1eb9d57,+509 3141-4666,Bò Bòzò Michel,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-28 12:00:00
8b4950d8-bc04-4eb7-b607-260b1087f3ea,+509 4166-9636,Dieudonné Etienne,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-09-12 12:00:00
9b22c5b3-1596-4eb2-8331-3c61d4e821c4,+509 3173-2774,Woody Bélizaire,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-09-14 12:00:00
4ae1f9bf-7946-4f45-a322-f81e1ad802d1,+509 4093-3514,Jean Gérard,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-25 12:00:00
3926bf47-83f4-4f12-afe2-25e75444a266,+509 4096-7975,Dieudonné Michel,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-09-16 12:00:00
26004f9a-8680-4efc-bc35-26b716d98a76,+509 3132-6158,Ti Makè Duval,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-28 12:00:00
22acd8c0-6e1b-4f1f-8d49-074a4a5914d6,+509 4070-2413,Mackenson Célestin,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-09-26 12:00:00
179a4a4b-ddfe-45bb-9566-b69b947404f0,+509 4144-6427,Pierre Célestin,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,MACHANN,Port-au-Prince,2025-11-04 12:00:00
9d90a194-ec5e-4f3d-af72-1d0d81a2693b,+509 4192-8197,Bò Bòzò Célestin,54699587-9f8f-4d09-b207-4666b61b6cca,MACHANN,Port-de-Paix,2025-10-25 12:00:00
e82add15-c8b4-46f0-8875-aa980d4c2e8a,+509 3193-2325,Woody Célestin,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-21 12:00:00
30509605-f047-4f7c-a4f8-9e8797c1eb28,+509 4150-5778,Woody Francois,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-10-20 12:00:00
233d0000-9853-4118-9eb1-39466026bb53,+509 3135-1466,Dieudonné Bélizaire,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-29 12:00:00
595c7338-f20d-4c5d-9590-80df7de0c71f,+509 4129-6606,Marie Lafontant,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-06 12:00:00
c55a8f13-22bf-4d14-b300-cd6a66736d01,+509 4197-7180,Madam Filo Duval,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-11-22 12:00:00
2ef8917a-e215-41b1-98d4-29d621efc722,+509 3129-2687,Ti Jan Michel,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-10-30 12:00:00
afbe7248-3d8d-4817-bf8f-bcc10459fd0d,+509 4134-1554,Nathalie Etienne,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-24 12:00:00
1475c917-49da-400e-87f3-b702cdbe8fcc,+509 4120-4336,Joseph Bélizaire,1bfcb54a-c373-4db1-83a5-c12dfe32476f,MACHANN,Gonaïves,2025-09-08 12:00:00
f9f6e6f8-b92a-48b8-8c94-8f9b87cb90df,+509 4119-3274,Nathalie Francois,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-24 12:00:00
67cff8be-a036-428c-970e-95ce17b53e56,+509 3191-4496,Bò Bòzò Bélizaire,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-23 12:00:00
fc67cc1b-bf7b-4772-bb2f-78b6a7cc05ac,+509 4093-5323,Ti Makè Bélizaire,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-24 12:00:00
a14a836b-d8f5-422b-a255-6c00b1a8f0fb,+509 4036-6531,Joseph Etienne,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-09-25 12:00:00
b0346693-bfa8-4b84-a1d5-4bfc28003078,+509 4116-9192,Ti Jan Francois,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-07 12:00:00
c1f95927-ab9e-40ad-a565-868e36c4a466,+509 3172-6723,Mackenson Bélizaire,1bfcb54a-c373-4db1-83a5-c12dfe32476f,GRAN_MET,Gonaïves,2025-10-18 12:00:00
31805870-4a77-4615-a4f5-97f3a3326625,+509 4099-6209,Mackenson Bélizaire,0094f17e-b50e-4bc8-a29a-9b24cb4ea321,GRAN_MET,Port-au-Prince,2025-11-03 12:00:00
68281caf-aa8b-48fe-9cd3-d78342007680,+509 3151-7457,Madam Filo Duval,bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,GRAN_MET,Les Cayes,2025-11-18 12:00:00
08b12407-7d7d-4afa-ad92-d48f8f4378c9,+509 4054-2475,Ti Makè Pierre-Louis,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-20 12:00:00
ac6fd86a-a84d-4813-9796-ff82e601ab25,+509 4085-6835,Madam Filo Jean-Baptiste,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-05 12:00:00
63a25aba-dabb-4f6e-9943-d2d1d8687e69,+509 3156-7800,Jean Etienne,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-02 12:00:00
97d2f4df-8aa6-47b6-ac3a-e1de394eb651,+509 3146-2661,Mackenson Michel,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-11-02 12:00:00
fff3b0d2-584c-47c4-bb84-1176a323c742,+509 4074-6404,Ti Jan Pierre-Louis,54699587-9f8f-4d09-b207-4666b61b6cca,MACHANN,Port-de-Paix,2025-11-03 12:00:00
